ax,ay,az,agx,agy,agz,gx,gy,gz,roll,pitch,yaw
-0.00315,0.05587,-0.00312,-0.36347,-5.80959,-7.89221,0.01635,0.01259,0.01366,-0.04602,0.63405,-0.21628
-0.03980,0.04135,0.03002,-0.36332,-5.81093,-7.89123,0.01696,0.00536,0.00810,-0.04601,0.63422,-0.21614
-0.04343,0.04373,0.05197,-0.36343,-5.81241,-7.89013,0.01893,0.00079,0.00774,-0.04603,0.63441,-0.21605
0.04293,0.03737,0.05861,-0.36450,-5.81368,-7.88915,0.01269,-0.00886,0.01586,-0.04617,0.63457,-0.21590
0.02359,0.04509,0.08529,-0.36656,-5.81452,-7.88844,0.01112,-0.01999,0.01378,-0.04643,0.63467,-0.21571
-0.08659,0.06762,0.10846,-0.36905,-5.81520,-7.88782,0.00785,-0.02258,0.01178,-0.04675,0.63476,-0.21554
-0.16763,0.06635,0.13129,-0.37152,-5.81573,-7.88731,0.00787,-0.02380,0.00939,-0.04707,0.63483,-0.21542
-0.24613,0.09384,0.18912,-0.37337,-5.81613,-7.88693,-0.00184,-0.01180,0.00351,-0.04730,0.63488,-0.21532
-0.27666,0.12752,0.21570,-0.37427,-5.81554,-7.88732,-0.01217,-0.00794,0.00168,-0.04742,0.63480,-0.21531
-0.29451,0.13567,0.19385,-0.37511,-5.81427,-7.88821,-0.02103,-0.02106,-0.01131,-0.04752,0.63464,-0.21537
-0.32222,0.14891,0.10313,-0.37599,-5.81284,-7.88922,-0.01855,-0.02376,-0.02241,-0.04762,0.63446,-0.21559
-0.29928,0.15303,0.02912,-0.37558,-5.81157,-7.89018,-0.01606,-0.00849,-0.03861,-0.04757,0.63430,-0.21598
-0.22047,0.13319,-0.04223,-0.37284,-5.81029,-7.89125,-0.02143,0.01290,-0.04519,-0.04721,0.63414,-0.21653
-0.09784,0.09410,-0.11098,-0.36903,-5.80921,-7.89223,-0.01120,0.01978,-0.03233,-0.04672,0.63400,-0.21704
0.16030,0.05023,-0.17676,-0.36635,-5.80889,-7.89259,0.00019,0.00896,-0.02078,-0.04638,0.63396,-0.21735
0.10408,0.02006,-0.16544,-0.36490,-5.80925,-7.89240,0.00758,0.00070,-0.02264,-0.04620,0.63401,-0.21761
-0.06538,0.09618,-0.02942,-0.36348,-5.80994,-7.89195,0.00585,-0.00264,-0.03531,-0.04603,0.63410,-0.21794
-0.19480,0.09596,0.07828,-0.36080,-5.81017,-7.89190,-0.00365,0.00285,-0.05357,-0.04569,0.63412,-0.21850
-0.24515,0.11662,0.09002,-0.35729,-5.80988,-7.89228,-0.00874,-0.00461,-0.07312,-0.04524,0.63409,-0.21928
-0.20126,0.11269,0.05144,-0.35315,-5.80970,-7.89260,-0.00401,-0.00615,-0.08821,-0.04471,0.63406,-0.22027
-0.11620,0.08195,-0.00866,-0.34813,-5.80992,-7.89265,0.00225,0.00257,-0.09261,-0.04408,0.63409,-0.22139
-0.05724,0.08054,-0.04382,-0.34244,-5.81046,-7.89251,0.00879,0.00589,-0.08858,-0.04336,0.63416,-0.22252
0.00589,0.08013,-0.05925,-0.33704,-5.81140,-7.89205,0.00987,-0.00000,-0.08397,-0.04268,0.63428,-0.22360
0.62450,0.06899,-0.04591,-0.34827,-5.81133,-7.89161,-0.00448,-0.29188,0.43076,-0.04410,0.63427,-0.22269
5.68001,-1.52564,0.25531,-0.38313,-5.80974,-7.89117,-0.00401,-0.05637,0.21281,-0.04851,0.63407,-0.21890
-0.71671,-1.22846,0.54463,-0.39689,-5.80526,-7.89378,-0.09782,0.07432,0.29651,-0.05024,0.63350,-0.21564
0.94254,0.01707,1.49732,-0.40939,-5.79203,-7.90286,-0.19922,-0.04673,0.18617,-0.05176,0.63183,-0.21265
-0.66706,-0.10237,0.75205,-0.42589,-5.77540,-7.91415,-0.19455,-0.16262,0.10038,-0.05376,0.62973,-0.21105
-0.95849,-0.00813,-0.16605,-0.44466,-5.76175,-7.92306,-0.14187,-0.19096,0.03697,-0.05606,0.62801,-0.21033
-0.76847,0.26950,-0.39955,-0.45542,-5.75297,-7.92883,-0.07315,-0.05119,-0.01184,-0.05738,0.62690,-0.21026
-0.51003,0.21403,-0.72233,-0.45244,-5.75033,-7.93092,0.00717,0.09382,-0.01400,-0.05699,0.62657,-0.21047
-0.36143,0.08316,-0.82624,-0.44213,-5.75308,-7.92950,0.06019,0.14181,-0.00386,-0.05570,0.62692,-0.21055
-0.28261,0.20197,-0.57762,-0.43116,-5.75876,-7.92598,0.07780,0.12836,-0.00003,-0.05434,0.62763,-0.21051
-0.33225,0.20536,-0.25810,-0.42237,-5.76470,-7.92214,0.06972,0.10116,0.00593,-0.05326,0.62838,-0.21042
-0.44399,0.15652,0.03180,-0.41463,-5.76868,-7.91964,0.02933,0.10083,-0.00275,-0.05231,0.62888,-0.21037
-0.53841,0.16165,0.23573,-0.40625,-5.76932,-7.91962,-0.01288,0.09443,-0.01556,-0.05125,0.62896,-0.21050
-0.50681,0.15578,0.31737,-0.39879,-5.76704,-7.92165,-0.04566,0.06451,-0.02080,-0.05030,0.62868,-0.21075
-0.41073,0.11468,0.26993,-0.39403,-5.76306,-7.92479,-0.05665,0.02048,-0.02736,-0.04968,0.62817,-0.21109
-0.27562,0.07807,0.13865,-0.39236,-5.75892,-7.92788,-0.04866,-0.01590,-0.02573,-0.04945,0.62765,-0.21145
-0.13303,0.11691,-0.03476,-0.39309,-5.75615,-7.92985,-0.02222,-0.03311,-0.02312,-0.04953,0.62730,-0.21176
-0.01029,0.12842,-0.12514,-0.39463,-5.75584,-7.93000,0.01232,-0.03921,-0.02444,-0.04972,0.62727,-0.21205
0.03561,0.13379,-0.13545,-0.39653,-5.75837,-7.92807,0.04662,-0.04944,-0.03206,-0.04997,0.62758,-0.21238
0.02446,0.11846,-0.06539,-0.39825,-5.76295,-7.92466,0.06382,-0.04722,-0.04493,-0.05021,0.62816,-0.21282
0.06755,0.09010,0.02609,-0.39855,-5.76840,-7.92067,0.06619,-0.02393,-0.04792,-0.05028,0.62885,-0.21336
0.19349,0.00855,0.07739,-0.39685,-5.77349,-7.91706,0.05711,0.00328,-0.04045,-0.05008,0.62949,-0.21389
0.29938,-0.04636,0.15182,-0.39425,-5.77768,-7.91412,0.04392,0.00757,-0.02961,-0.04978,0.63002,-0.21428
0.22722,-0.07224,0.21600,-0.39257,-5.78068,-7.91201,0.02850,0.00063,-0.02082,-0.04958,0.63040,-0.21458
0.12557,-0.07995,0.26040,-0.39147,-5.78225,-7.91092,0.00730,0.00098,-0.01634,-0.04944,0.63060,-0.21479
0.08858,-0.11202,0.28514,-0.39040,-5.78206,-7.91112,-0.01512,0.00529,-0.01304,-0.04931,0.63057,-0.21497
0.04759,-0.15023,0.23316,-0.38921,-5.78036,-7.91242,-0.02729,0.00565,-0.00654,-0.04915,0.63036,-0.21510
0.04982,-0.19538,0.17833,-0.38830,-5.77785,-7.91429,-0.03582,0.00793,-0.00734,-0.04902,0.63004,-0.21521
0.07878,-0.20072,0.11768,-0.38733,-5.77490,-7.91649,-0.03794,0.01723,-0.00040,-0.04889,0.62967,-0.21526
0.13168,-0.21112,-0.00383,-0.38576,-5.77214,-7.91858,-0.03395,0.02853,0.00531,-0.04868,0.62932,-0.21524
0.07180,-0.15994,-0.06763,-0.38349,-5.76990,-7.92033,-0.02377,0.03377,0.00297,-0.04838,0.62904,-0.21520
-0.01062,-0.06350,-0.11666,-0.38053,-5.76818,-7.92172,-0.01858,0.03559,-0.00297,-0.04800,0.62882,-0.21523
-0.05481,0.00254,-0.12765,-0.37764,-5.76703,-7.92270,-0.01315,0.03137,-0.00354,-0.04763,0.62867,-0.21527
-0.10607,0.07079,-0.14075,-0.37501,-5.76690,-7.92292,0.00244,0.02870,-0.00502,-0.04730,0.62866,-0.21532
-0.08472,0.11662,-0.10763,-0.37272,-5.76739,-7.92267,0.00504,0.02635,0.00031,-0.04701,0.62872,-0.21534
-0.06379,0.13896,-0.06806,-0.37091,-5.76803,-7.92229,0.00684,0.01561,0.00085,-0.04678,0.62880,-0.21533
-0.05419,0.12827,-0.04737,-0.37003,-5.76886,-7.92173,0.00924,0.00929,0.00279,-0.04668,0.62891,-0.21529
-0.04760,0.11590,0.02328,-0.36973,-5.76966,-7.92115,0.00951,0.00098,-0.00169,-0.04664,0.62901,-0.21527
-0.05768,0.08467,0.04334,-0.36939,-5.77030,-7.92071,0.00737,0.00529,-0.00369,-0.04660,0.62909,-0.21528
-0.07758,0.04384,0.04108,-0.36864,-5.77077,-7.92039,0.00693,0.01156,-0.00713,-0.04651,0.62915,-0.21533
-0.08734,0.01726,0.02535,-0.36681,-5.77112,-7.92023,0.00328,0.02070,-0.01103,-0.04628,0.62919,-0.21545
-0.09610,-0.01413,0.03540,-0.36403,-5.77146,-7.92011,0.00221,0.02895,-0.01723,-0.04593,0.62923,-0.21562
-0.07314,-0.03467,0.03788,-0.36066,-5.77157,-7.92019,0.00222,0.03172,-0.01809,-0.04551,0.62925,-0.21584
-0.02301,-0.08129,0.03170,-0.35722,-5.77163,-7.92029,-0.00106,0.03262,-0.01659,-0.04507,0.62926,-0.21605
0.03776,-0.11509,0.03921,-0.35349,-5.77120,-7.92077,-0.01036,0.03782,-0.01490,-0.04460,0.62920,-0.21625
